topic_name,birth_date,last_activity_date,commit_count,docs_only_or_src,agent_tags,removal_date,removal_evidence,triggering_incident,confidence
audit-cycle-cleanup-round,2026-02-15,2026-02-15,5,unchecked,,surviving,,unknown,medium
update-skill-remove-deprecated,2026-02-15,2026-02-15,1,unchecked,,surviving,,unknown,medium
cycle-redesign-auto-back,2026-02-23,2026-02-23,1,unchecked,,surviving,,unknown,medium
prevent-workers-bypassing-cycle,2026-02-24,2026-02-24,1,unchecked,,surviving,,unknown,medium
propagate-evaluations-role-components,2026-02-26,2026-02-26,1,unchecked,,surviving,,unknown,medium
four-layer-test-suite,2026-02-26,2026-02-26,1,unchecked,,surviving,,unknown,medium
autopoietic-task-generation-guardrails,2026-02-27,2026-02-27,1,unchecked,,surviving,,unknown,medium
home-scroll-keys-scroll,2026-03-03,2026-03-03,1,unchecked,,surviving,,unknown,medium
make-verify-a,2026-03-04,2026-03-04,3,unchecked,make-verify-a,surviving,,unknown,high
enforce-message-replies-agent,2026-03-04,2026-03-04,1,unchecked,,surviving,,unknown,medium
tui-text-input,2026-03-05,2026-03-05,1,unchecked,tui-text-input,surviving,,unknown,high
research-how-should,2026-03-05,2026-03-05,1,docs*,research-how-should,surviving,,unknown,high
tui-evaluating-validation,2026-03-07,2026-03-07,1,unchecked,tui-evaluating-validation,surviving,,unknown,high
guard-service-stop,2026-03-07,2026-03-07,1,unchecked,guard-service-stop,surviving,,unknown,high
mandatory-validation-gate-pendingvalidation,2026-03-07,2026-03-07,1,unchecked,,surviving,,unknown,medium
